Text;Is this a Case Report reporting on the history of a single patient?;Did the patient receive radiation therapy?;Did the patient receive the systemic therapy Cisplatin?;Was Cisplatin given before RT?;Was Cisplatin given at the same time as RT?;Was Cisplatin given after RT?;male;female;lung;kidney;lymphoma;skin;gyn;pancreas;patient died;positive outcome from ICI/RT-Interaction;negative outcome from ICI/RT-Interaction
"When tissue is not the only issue: Poorly differentiated lung squamous-cell carcinoma with adrenal, costochondral, and cardiac metastases - case report.Nonmelanoma skin cancer is the most common cancer in the world, and lung cancer is the leading cause of death from cancer. Histologically, squamous cell carcinoma (SCC) is the second most prevalent type of both skin and lung cancers. We report the case of a 38-year-old female with metastatic, poorly differentiated lung SCC detected on chest X-ray after she presented to the hospital with cough and dyspnea. She had had a 7.5 cm moderately differentiated well-circumscribed posterior scalp SCC completely excised eight years earlier. CT scan showed a large right lung mass, nodular filling defect in the left atrium (LA), and metastases to the adrenal glands and the first rib. Her pulmonary tumor extends to the LA via the right superior pulmonary vein, which is rarely reported in the literature. Ultrasound-guided biopsy of the rib mass showed poorly differentiated SCC. The patient received urgent radiotherapy, given superior vena cava and mainstem bronchus compression. Head CT showed no brain metastasis. A biopsy of the left adrenal initially reported an undifferentiated pleomorphic sarcoma; however, a second pathologist reported it as a poorly differentiated carcinoma of lung origin. At least three pathologists verified the specimen, and it had a PD-L1 test with a 1-49% score. An initial echocardiogram confirmed the LA mass. The patient received a Paclitaxel-Carboplatin-Pembrolizumab regimen as the first-line treatment for metastatic SCC. A repeat echocardiogram after cycle 1 showed a decrease in the size of the tumor in the LA. Almost five months after her initial visit, this young woman's symptoms and performance status have improved post-palliative radiotherapy and chemo-immunotherapy. Follow-up CT showed smaller lung, nodal, adrenal, and costochondral masses, and evidence of necrosis. This case is clinically relevant because it represents a common problem presenting uncommonly. Moreover, it highlights that ultrasound-guided interventions and medical imaging are essential in directing metastatic cancer diagnosis, treatment, and follow-up, especially when pathology cannot confirm but only presume a specific diagnosis.";TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Metastatic porocarcinoma achieving complete radiological and clinical response with pembrolizumab.A 67-year-old woman presented in 2012 with a crusty nodule on the left lower limb. Histopathological examination at this time reported a poorly differentiated squamous cell carcinoma (SCC). Two years later, she underwent lymphadenectomy and radiotherapy due to unilateral inguinal and pelvic sidewall nodal metastases. The following year she required excision of two subcutaneous lesions, reported pathologically to be SCC metastases. Further imaging following cyberknife radiotherapy to new brain metastases demonstrated widespread metastatic visceral disease. Twelve cycles of carboplatin and capecitabine failed to halt disease progression. In February 2017, she commenced pembrolizumab, achieving an excellent response and currently has no clinical or radiological evidence of disease. Given the unusual behaviour of her cancer, a histopathological review was requested. The diagnosis was revised to that of porocarcinoma (PC). This represents the first documented case of PC treated with immunotherapy. As of March 2019, the patient remains free of disease.;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
[Intestinal relapse of a cutaneous melanoma. Report of one case].Digestive tract primary melanoma is uncommon. However, metastatic lesions are more frequent and occur mainly in the small intestine. We report a 69-year-old male patient who consulted for a hyperpigmented skin lesion on the left thigh associated with multiple subcutaneous nodules. The biopsy was compatible with melanoma and PET/CT was positive for metastases in nodules and in an inguinal lymph node. Radiotherapy and chemotherapy with pembrolizumab were performed with good response, associated with posterior resection of the inguinal lymph node and melanocytic lesions. At three years of follow-up, a new hypermetabolic focus in the proximal jejunum was found in a control PET/CT. An endoscopic biopsy confirmed that it was a recurrence of the melanoma. Laparoscopic resection with primary anastomosis was performed with good clinical evolution. The definitive biopsy showed a melanoma metastasis with two of three lymph nodes positive for metastasis and a non-mutated BRAF gene. In conclusion, a single intestinal recurrence of melanoma is rare and requires an active search, since it can be resected using minimally invasive techniques.;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Case report: Durable response after pembrolizumab in combination with radiation - induced abscopal effect in platinum - refractory metastatic endometrial clear cell carcinoma.Advanced endometrial clear cell carcinoma (CCC) tends to have poor prognosis owing to aggressive clinical behavior and poor response to conventional chemotherapy. Herein, we report a case of platinum-refractory recurrent ECCC successfully treated with the combination of pembrolizumab, localized radiotherapy and a few cycles of chemotherapy with an extremely durable response even after cessation of immunotherapy for 3 years at the time of publication.;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
Pembrolizumab in FIGO IVB Verrucous Carcinoma of the Vulva: A Case Report.BACKGROUND: Vulvar cancer is the fourth most common gynecologic cancer, and prognosis is poor in advanced vulvar cancer patients. Treatment for advanced vulvar cancer has not been satisfactory. In this report, we firstly report a FIGO IVB vulva verrucous carcinoma patient who obtained good prognosis after systemic treatment. CASE PRESENTATION: A patient was admitted to hospital due to her vulvar lesion persistent for past 14 years. The vulvar mass has widely invaded urethra, part of anus, the lower third of the vagina, bilateral superior and inferior branches of pubis, and bilateral internal and external muscles of obturator. Multiple metastatic lymph nodes were also found in the pelvic cavity. The histopathological studies confirmed vulvar verrucous carcinoma with a PD-L1 overexpression. After six courses of neoadjuvant chemotherapy and pembrolizumab, the patient underwent radical vulvectomy and achieved optimal cytoreduction. Postoperative pathology found no residual tumor. The patient then received one course of postoperative chemotherapy and pembrolizumab, underwent radiation therapy, and was disease free after 6 months follow-up. CONCLUSION: Our individualized treatment strategy is successful. Pembrolizumab is safe and effective in the treatment of advanced vulvar verrucous carcinoma with PD-L1 overexpression.;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
"Therapeutic response to pazopanib: case report and literature review on molecular abnormalities of aggressive prolactinomas.INTRODUCTION: Aggressive prolactinomas (APRLs) pose a significant clinical challenge due to their high rate of regrowth and potentially life-threatening complications. In this study, we present a case of a patient with an APRL who had a trial of multiple therapeutic modalities with the aim to provide a review of molecular abnormalities and management of APRLs by corroborating our experience with previous literature. METHODS: A total of 268 articles were reviewed and 46 were included. Case reports and series, and studies that investigated the molecular and/or genetic analysis of APRLs were included. Special care was taken to include studies describing prolactinomas that would fall under the APRL subtype according to the European Society of Endocrinology guidelines; however, the author did not label the tumor as ""aggressive"" or ""atypical"". Addiontionally, we present a case report of a 56-year-old man presented with an invasive APRL that was resistant to multiple treatment modalities. RESULTS: Literature review revealed multiple molecular abnormalities of APRLs including mutations in and/or deregulation of ADAMTS6, MMP-9, PITX1, VEGF, POU6F2, CDKN2A, and Rb genes. Mismatch repair genes, downregulation of microRNAs, and hypermethylation of specific genes including RASSF1A, p27, and MGMT were found to be directly associated with the aggressiveness of prolactinomas. APRL receptor analysis showed that low levels of estrogen receptor (ER) and an increase in somatostatin receptors (SSTR5) and epidermal growth factor receptors (EGFR) were associated with increased invasiveness and higher proliferation activity. Our patient had positive immunohistochemistry staining for PD-L1, MSH2, and MSH6, while microarray analysis revealed mutations in the CDKN2A and POU6F2 genes. Despite undergoing two surgical resections, radiotherapy, and taking dopamine agonists, the tumor continued to progress. The patient was administered pazopanib, which resulted in a positive response and the patient remained progression-free for six months. However, subsequent observations revealed tumor progression. The patient was started on PD-L1 inhibitor pembrolizumab, yet the tumor continued to progress. CONCLUSION: APRLs are complex tumors that require a multidisciplinary management approach. Knowledge of the molecular underpinnings of these tumors is critical for understanding their pathogenesis and identifying potential targets for precision medical therapy.";TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"Growth arrest of a refractory vestibular schwannoma after anti-PD-1 antibody treatment.A 25-year-old man presented with left-sided hearing loss, blurred vision and papilloedema. Imaging revealed a large, left-sided, contrast-enhancing cerebellopontine mass causing obstructive hydrocephalus, consistent with vestibular schwannoma (VS). Following an incomplete resection via retrosigmoid craniotomy at an outside facility, he was referred to our department, and cerebrospinal fluid diversion followed by repeat resection was recommended. A subtotal resection was achieved, and the patient was subsequently treated with adjuvant stereotactic radiosurgery (SRS). Progressive interval growth was observed on serial post-SRS MRI studies; correspondingly, at 31 months after treatment, the patient was initiated on antiprogrammed-death receptor 1 (PD-1) antibody treatment with pembrolizumab. Growth arrest was noted on subsequent serial imaging studies, which have been maintained for a total of 30 months since initiation of a 18-month anti-PD-1 course of therapy. Additional case accumulation and translational study is required to better characterise this therapeutic strategy; however, PD-1/programmed death-ligand 1 inhibition may offer a promising salvage therapy for refractory VS.";TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Near Complete Pathologic Response to PD-1 Inhibitor and Radiotherapy in a Patient with Locally Advanced Pancreatic Ductal Adenocarcinoma.Pancreatic ductal adenocarcinoma (PDAC) remains deadly despite advances in systemic therapies and surgical techniques. While there is increasing utilization of immune therapies across diverse cancer types, PDAC remains generally resistant to these treatments. We report a case of locally advanced PDAC treated with preoperative radiation and anti-PD-1 immunotherapy guided by preoperative PD-L1 tumor analysis. After 4 months of preoperative therapy, the patient was submitted to resection, demonstrating a near-complete pathologic response on final tumor analysis. We will discuss the relevant literature and current state of immunotherapeutics for PDAC.;TRUE;TRUE;FALSE;;;;;;;;;;;;;;
"Excellent response of refractory triple-negative breast cancer to sintilimab plus chemotherapy: a case report.Triple-negative breast cancer (TNBC) is the most aggressive subtype of breast cancer with a high propensity for invasion and a high incidence of lymph node metastasis. Systemic chemotherapy is considered the primary treatment for patients with TNBC; however, immune checkpoint inhibitors in addition to chemotherapy have been associated with better outcomes. Sintilimab, an anti-PD-1 antibody, was developed in China. Herein, the authors report a 49-year-old woman diagnosed with TNBC with extensive lung and sternal metastases. Treatment with sintilimab plus paclitaxel and carboplatin was found highly effective after failure of first-line chemotherapy. This combinational therapy can be considered for the treatment of TNBC after necessary investigations and clinical trials.";TRUE;FALSE;FALSE;;;;;;;;;;;;;;
Combined immune checkpoint blockade and radiotherapy induces durable remission in relapsed natural killer/T-cell lymphoma: a case report and review of the literature.BACKGROUND: Extranodal natural killer/T-cell lymphoma is a rare, aggressive non-Hodgkin lymphoma that is treated upfront mostly with L-asparaginase containing regimens. Relapsed extranodal natural killer/T-cell lymphoma is associated with a poor prognosis, and there is no established standard of care. CASE PRESENTATION: We report the case of a 72 year-old white male with a distant extranasal relapse of extranodal natural killer/T-cell lymphoma that has been managed successfully with a combination of radiation and immune checkpoint blockade with pembrolizumab. Pseudoprogression with new skin and bone lesions on positron emission tomography imaging was encountered during this Caucasian patient's immunotherapy and was successfully managed with supportive care and continuation of immune checkpoint blockade. CONCLUSIONS: The patient has been in complete clinical, radiologic, and molecular remission for close to 3 years and has not had any immune-related adverse effects. Pseudoprogression is a clinical challenge that can be encountered while patients are treated with immunotherapy, and astute clinical acumen is needed for accurate management. We believe this is the longest duration of response to immune checkpoint blockade in relapsed extranodal natural killer/T-cell lymphoma reported to date in literature. There is a strong biologic rationale in combining radiation with immunotherapy. The optimal timing, dose, and duration of radiation combined with immunotherapy in extranodal natural killer/T-cell lymphoma need to be prospectively evaluated.;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
Treatment of metastatic cutaneous squamous cell carcinoma in a solid organ transplant recipient with programmed death-1 checkpoint inhibitor therapy.Limited data exist on the use of immune checkpoint inhibitors (ICI) for the treatment of metastatic cutaneous squamous cell carcinoma (CSCC) in solid organ transplant recipients (SOTR). We report a case of a SOTR who developed metastatic disease following multiple surgeries, three cycles of adjuvant radiotherapy, and minimization of immunosuppression. He was subsequently treated with pembrolizumab and achieved a complete response. However, the patient developed ICI-induced allograft rejection requiring therapy discontinuation. The allograft was salvaged following IVIg and steroids. The patient developed recurrent disease which failed rechallenge with pembrolizumab but achieved a partial response following cemiplimab administration. This case illustrates the potential to treat metastatic CSCC in a SOTR with anti-programmed death-1 therapy and preserve graft function despite allograft rejection.;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Complete intracranial response to talimogene laherparepvec (T-Vec), pembrolizumab and whole brain radiotherapy in a patient with melanoma brain metastases refractory to dual checkpoint-inhibition.BACKGROUND: Immunotherapy, in particular checkpoint blockade, has changed the clinical landscape of metastatic melanoma. Nonetheless, the majority of patients will either be primary refractory or progress over follow up. Management of patients progressing on first-line immunotherapy remains challenging. Expanded treatment options with combination immunotherapy has demonstrated efficacy in patients previously unresponsive to single agent or alternative combination therapy. CASE PRESENTATION: We describe the case of a patient with diffusely metastatic melanoma, including brain metastases, who, despite being treated with stereotactic radiosurgery and dual CTLA-4/PD-1 blockade (ipilimumab/nivolumab), developed systemic disease progression and innumerable brain metastases. This patient achieved a complete CNS response and partial systemic response with standard whole brain radiation therapy (WBRT) combined with Talimogene laherparepvec (T-Vec) and pembrolizumab. CONCLUSION: Patients who do not respond to one immunotherapy combination may respond during treatment with an alternate combination, even in the presence of multiple brain metastases. Biomarkers are needed to assist clinicians in evidence based clinical decision making after progression on first line immunotherapy to determine whether response can be achieved with second line immunotherapy.;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Case series: Immune checkpoint inhibitor-induced transverse myelitis.INTRODUCTION: Increasing implementation of the highly efficacious immune checkpoint inhibitors (ICIs) has raised awareness of their various complications in the form of immune-related adverse events (irAEs). Transverse myelitis following ICIs is thought to be a rare but serious neurologic irAE and knowledge is limited about this distinct clinical entity. CASES: We describe four patients across three tertiary centers in Australia with ICI-induced transverse myelitis. Three patients had a diagnosis of stage III-IV melanoma treated with nivolumab and one patient had stage IV non-small cell lung cancer treated with pembrolizumab. All patients had longitudinally extensive transverse myelitis on magnetic resonance imaging (MRI) spine and clinical presentation was accompanied by inflammatory cerebrospinal fluid (CSF) findings. Half of our cohort had received spinal radiotherapy, with the areas of transverse myelitis extending beyond the level of previous radiation field. Inflammatory changes on neuroimaging did not extend to the brain parenchyma or caudal nerve roots, except for one case involving the conus medullaris. All patients received high dose glucocorticoids as first-line therapy, however the majority relapsed or had a refractory state (3/4) despite this, requiring escalation of their immunomodulation, with either induction intravenous immunoglobulin (IVIg) or plasmapheresis. Patients in our cohort who relapsed had a poorer outcome with more severe disability and reduced functional independence following resolution of their myelitis. Two patients had no progression of their malignancy and two patients had malignancy progression. Of the three patients who survived, two had resolution of their neurological symptoms and one remained symptomatic. CONCLUSION: We propose that prompt intensive immunomodulation is favored for patients with ICI-transverse myelitis in an attempt to reduce associated significant morbidity and mortality. Furthermore, there is a significant risk of relapse following cessation of immunomodulatory therapy. We suggest one treatment approach of IVMP and induction IVIg for all patients presenting with ICI-induced transverse myelitis based on such findings. With the increasing use of ICIs across oncology, further studies are required to explore this neurological phenomenon in greater detail to help establish management consensus guidelines.;FALSE;;;;;;;;;;;;;;;;
Abscopal effect in a Hodgkin lymphoma patient treated by an anti-programmed death 1 antibody.;TRUE;FALSE;FALSE;;;;;;;;;;;;;;
Atypical pattern of response in rectal cancer after neoadjuvant pembrolizumab treatment: a case report, literature review, and proposed management model.BACKGROUND: Immunotherapy is the first-line treatment in patients with advanced microsatellite instability-high (MSI-H) or deficient mismatch repair (dMMR) colorectal cancer (CRC). Although immune checkpoint inhibitors (ICIs) for locally advanced rectal cancer (LARC) are not yet a standard, the results are very encouraging and raise the question of whether patients with clinical complete response (cCR) could receive nonoperative management (NOM). However, different patterns of response have challenged management strategies. CASE DESCRIPTION: A 34-year-old woman diagnosed with dMMR LARC started treatment with capecitabine 2,000 mg/m(2) on day 1 to 14 and oxaliplatin 130 mg/m(2) on day 1 and every 21 days. Magnetic resonance imaging (MRI), performed three cycles later, showed local progression of the primary rectal lesion, which at that time had new peritoneal reflex involvement. A new hepatic lesion in segment V was observed. Due to disease progression, she was administered pembrolizumab 200 mg every 21 days. After three cycles, a discordant radiological response was observed on a new MRI scan that showed a complete response of the liver lesion and magnetic resonance tumor regression grade (mrTRG) 1 in the rectum. However, new involvement of the mesentery and enlargement of the regional lymph nodes (LNs) were also evident. A new colonoscopic biopsy was performed, showing no cancerous cells. She underwent surgery on the rectum and liver lesion. Pathology showed a complete response of the rectal wall and liver lesion, but 1 of 22 LNs was positive for adenocarcinoma (ypT0 N1 M0). The patient continued on pembrolizumab, and 14 months after surgery, she had not relapsed. CONCLUSIONS: Neoadjuvant immunotherapy for rectal cancer requires new recommendations for the assessment of clinical response. Pseudoprogression should be ruled out as an atypical response before deciding on surgical treatment. We propose an algorithm to address pseudoprogression in this setting.;TRUE;FALSE;TRUE;;;;;;;;;;;;;;
